transaction_id,sender_id,recipient_id,transaction_type,amount,location,payment_method,sender_iban,recipient_iban,balance_after,description,timestamp
dc9fb3e7-8c7d-426f-a700-a0fc7e96941c,LDCK-SLVT-7F8-MUN-0,,in-person payment,269.58,Munich - Isar River Cafe,debit card,DE71D4674228693667840434176,IT48W5478109561792252177824866,45208.46,,2087-01-01T08:48:17
890f867d-2d59-4d96-9272-fbd07fab56e6,LDCK-SLVT-7F8-MUN-0,,withdrawal,49.95,Munich - ATM Munich Central Station,debit card,DE71D4674228693667840434176,,45158.51,,2087-01-01T09:29:23
26edad84-7209-41ed-a848-19466a295a07,EMP15234,CHVN-GBRL-7CA-NAN-0,transfer,2186.05,,,IT94S2077695864087170283489745,FR33E7587255626666556950495,9560.29,Salary payment Jan,2087-01-01T12:09:54
1dd9d79f-fa32-4b93-a652-abab97e6cf65,EMP89281,PTTR-JMSA-80C-CER-0,transfer,2165.20,,,IT13X4417277572470171512581046,US81B6556270410726227697631,12186.95,Salary payment Jan,2087-01-01T20:18:55
055d23bc-61f5-4a57-b530-b55334d4da82,LDCK-SLVT-7F8-MUN-0,CMPCN77797,direct debit,78.52,,,DE71D4674228693667840434176,IT33Y7204447369010961485363026,45079.99,Investment platform subscription,2087-01-02T04:51:45
b7427ad2-3cd9-46d2-b35e-95b9dd374947,BRNT-JLTT-7D3-COR-0,,transfer,199.63,,,FR42B3507838827333356413981,IT86Y4101281710164412300201212,10919.52,Support to grandchildren,2087-01-02T14:52:35
bf8d2a49-9524-4879-8fa8-c3d2fbf16018,VSCN-MRAU-807-BRI-1,PAYLN96787,e-commerce,4.87,QuickCart Marketplace,PayPal,IT65V4906447641554316582545,IT96Y7583766939082235075008842,16332.14,,2087-01-02T15:30:04
d7c47f01-81ac-4d27-b25e-0b1f4f465a07,VSCN-MRAU-807-BRI-1,PAYLN96787,e-commerce,1515.66,QuickCart Marketplace,PayPal,IT65V4906447641554316582545,IT96Y7583766939082235075008842,14816.48,,2087-01-02T15:51:37
6ea44d84-b5af-48dc-bc76-4b96ee2cff60,BRNT-JLTT-7D3-COR-0,HOME40192,transfer,837.56,,,FR42B3507838827333356413981,IT51Y5509295164043974776623443,10081.96,Rent payment Jan - Real Estate Italia,2087-01-02T16:48:10
87bda9c1-9d27-4c4f-9755-b0b1e4e43f2a,EMP95124,PRKR-JLUI-7D4-AUR-0,transfer,2243.23,,,IT19Z5458274275387459012893952,US73J9650405635383123411206,10174.10,Salary payment Jan,2087-01-03T08:36:30
5fa6243d-86eb-4224-a59b-8437fb71b0c5,EMP53081,BRNT-JLTT-7D3-COR-0,transfer,3088.01,,,IT41Z4500711994326762714842947,FR42B3507838827333356413981,13169.97,Salary payment Jan,2087-01-03T08:57:34
6615feeb-bd8c-4289-88e5-67c26761e6e6,DÖHN-GDUI-811-WIE-0,RES24021,transfer,410.05,,,DE74X8794356022735306376013,IT72K6420692860806917285766561,4481.73,Rent payment Jan - Abitazioni Plus Wiesbaden,2087-01-03T09:01:54
f2f61921-7cf4-4d33-a930-9adfd069a7b6,CHVN-GBRL-7CA-NAN-0,,in-person payment,50.57,Nantes - Nantes Artisan Bakery,debit card,FR33E7587255626666556950495,IT88P8116585045989741349108522,9509.72,,2087-01-03T09:39:03
2709cd8e-da4f-4d15-bf70-70092deaab0a,CHVN-GBRL-7CA-NAN-0,HOME51512,transfer,660.20,,,FR33E7587255626666556950495,IT40J3137802786087101712805479,8849.52,Rent payment Jan - Residenze Milano Nantes,2087-01-03T10:14:26
3dbfedfc-0987-44b5-98d9-eed2eadc269f,PTTR-JMSA-80C-CER-0,RENT29736,transfer,772.91,,,US81B6556270410726227697631,IT38A7513683000549746417960030,11414.04,Rent payment Jan - Stanza Agency,2087-01-03T10:25:50
7031ad90-4b96-41aa-bd10-427c6710805d,LDCK-SLVT-7F8-MUN-0,COMMR50712,e-commerce,738.36,MarketLane Direct,debit card,DE71D4674228693667840434176,IT92X2627048221583939334548495,44341.63,,2087-01-03T13:00:12
dff6e48b-98d9-46c9-8db3-8b2253894daa,LDCK-SLVT-7F8-MUN-0,STAN28672,transfer,1664.28,,,DE71D4674228693667840434176,IT71Q4959810718188247437663859,42677.35,Rent payment Jan - Housing Partners,2087-01-03T13:02:17
4fa12b7a-ee62-4224-8840-2042defbddbe,MBRT-JSÉP-811-TON-0,RES78506,transfer,474.76,,,FR31S2063414610415586638765,IT73F3799568750019746724737342,3964.72,Rent payment Jan - Immobiliare Services Tonneins,2087-01-04T08:42:15
55a7db0a-2c5b-4576-91bd-3d774340ce42,EMP28198,DÖHN-GDUI-811-WIE-0,transfer,1044.12,,,IT44J2411387932354748360314561,DE74X8794356022735306376013,5525.85,Salary payment Jan,2087-01-04T09:43:51
0fe7506f-4d1e-4686-99d8-64be9ab176e9,EMP32040,LDCK-SLVT-7F8-MUN-0,transfer,8331.34,,,IT46E8430574587967921105101841,DE71D4674228693667840434176,51008.69,Salary payment Jan,2087-01-04T12:36:32
853d7e7e-68a3-4cad-a09f-d6f99a6e0e33,SHPH-DNLA-7D2-LON-0,HOME80202,transfer,1097.63,,,GB14R4522140264953616778153,IT95L6319230532033137130893824,9474.55,Rent payment Jan - Appartamenti Italia,2087-01-05T08:07:07
54acd9a8-2651-4637-bb04-740c6dc3dcf9,PRKR-JLUI-7D4-AUR-0,STAN81372,transfer,729.14,,,US73J9650405635383123411206,IT79N8963042137922662199774494,9444.96,Rent payment Jan - Residenze Milano Aurora,2087-01-05T09:37:30
58ff2787-f800-449d-9ed6-c0d473786637,LDCK-SLVT-7F8-MUN-0,WEBPR90167,e-commerce,104.90,ParcelNest Commerce,debit card,DE71D4674228693667840434176,IT19O7899301775454171129132300,50903.79,,2087-01-05T12:04:37
6d04ebf1-7293-4326-9156-7ea57c571b30,EMP67273,SHPH-DNLA-7D2-LON-0,transfer,3658.62,,,IT39H3814145176267928775162663,GB14R4522140264953616778153,13133.17,Salary payment Jan,2087-01-05T12:40:41
ac32a2cf-1d5d-4a42-b2bf-06afb0c84b37,EMP62435,VSCN-MRAU-807-BRI-1,transfer,2962.62,,,IT46A4230778065400780935710611,IT65V4906447641554316582545,17779.10,Salary payment Jan,2087-01-05T12:54:24
07ba66cb-9ab8-4f83-8b19-b9158f6bda1a,EMP70161,BLND-MÉAI-7FE-PAR-1,transfer,2467.81,,,IT42G7549429823243335795049855,FR90R8489055650539701833516,21046.85,Salary payment Jan,2087-01-05T15:46:33
61238d1a-a3ef-453f-84fb-8458663df7b7,EMP88694,MBRT-JSÉP-811-TON-0,transfer,1229.25,,,IT49V5293679665971915244625595,FR31S2063414610415586638765,5193.97,Salary payment Jan,2087-01-05T18:19:37
ef326a98-94da-426b-aad9-4535e5501298,EMP51611,SPNC-SRAA-7F1-IND-0,transfer,3933.14,,,IT52F6374776941521164058346791,US86K4608896011535163593949,31923.64,Salary payment Jan,2087-01-06T09:37:50
10b720e7-3351-4f40-8f27-65b108757ab6,VSCN-MRAU-807-BRI-1,APP12992,transfer,1005.82,,,IT65V4906447641554316582545,IT55R5176571144622432351861966,16773.28,Rent payment Jan - Affitti Italiani,2087-01-06T11:01:54
